image,pres,freq,area
Woodpecker,30,30,1
Mouse,20,10,2
Monkey,20,10,3
WALL-E,20,30,2
Elephant,20,5,3
Worm,20,0,2
Cat,25,20,3
Shark,25,1,3
Spider,10,10,1
Baymax,10,2,3
Octopus,15,2,2
Ants,10,30,1
Shark,20,2,2
Octopus,15,2,2
Pepper,25,1,2
Ants,10,30,1
Spider,10,5,1
Woodpecker,25,20,1
Mouse,10,5,1
Monkey,15,5,2
Elephant,30,0,3
Worm,10,0,1
Cat,20,5,1
Shark,25,0,3
Spider,10,30,1
Baymax,15,0,2
Octopus,25,2,3
Ants,10,20,1
Pepper,25,2,2
Woodpecker,30,20,1
Monkey,30,2,2
WALL-E,20,0,2
Shark,10,30,1
Octopus,30,5,2
Pepper,20,1,1
Ants,15,10,1
Spider,10,5,2
Woodpecker,30,30,1
Mouse,15,2,2
Monkey,20,2,2
WALL-E,25,2,2
Elephant,30,0,3
Worm,15,5,2
Shark,20,0,3
Baymax,15,2,2
Octopus,15,10,1
Ants,15,30,1
Pepper,20,2,2
Woodpecker,30,30,1
Monkey,20,2,2
WALL-E,25,1,2
Mouse,15,20,1
Elephant,25,1,3
Cat,10,1,1
Spider,10,2,3
Octopus,30,30,3
Woodpecker,30,30,3
Monkey,30,30,3
Elephant,30,30,3
Shark,15,2,2
Mouse,10,1,1
Worm,10,0,1
Baymax,20,0,2
WALL-E,20,10,3
Pepper,20,10,2
Spider,20,30,1
Cat,10,10,2
Ants,10,30,1
Baymax,25,2,3
Woodpecker,30,30,2
Shark,30,5,3
Mouse,20,20,2
Octopus,20,10,3
Elephant,30,0,3
Cat,30,10,3
Pepper,20,5,3
Spider,20,5,2
WALL-E,20,20,2
Ants,20,1,1
Cat,20,5,2
Shark,30,1,3
Worm,15,10,1
Elephant,15,1,3
Octopus,30,5,2
Woodpecker,15,10,1
Mouse,20,10,1
Baymax,15,0,3
Spider,10,5,1
Shark,20,0,2
Cat,15,5,2
Ants,10,20,1
Mouse,15,1,1
Baymax,10,5,3
Octopus,25,2,3
Worm,15,1,1
WALL-E,25,1,2
Monkey,20,5,3
Woodpecker,25,20,1
Elephant,30,0,3
Spider,10,0,1
Pepper,25,10,2
Mouse,15,10,1
Monkey,25,2,2
Shark,25,1,3
Octopus,20,2,2
Worm,20,0,2
Cat,25,1,2
Woodpecker,30,1,1
WALL-E,15,0,2
Elephant,30,1,3
Spider,10,20,2
Cat,15,1,2
Ants,10,10,3
Mouse,10,0,1
Baymax,30,2,3
Worm,10,0,1
Shark,20,5,2
Woodpecker,30,30,1
WALL-E,25,5,2
Pepper,10,5,1
Octopus,10,2,2
Elephant,30,0,3
Spider,10,0,1
Cat,15,1,2
Ants,10,20,1
Shark,20,5,2
Octopus,30,10,2
Pepper,20,0,2
Ants,10,20,1
Spider,15,10,1
Woodpecker,25,10,2
Mouse,25,5,2
Monkey,30,2,3
Elephant,30,1,3
Worm,10,2,2
Cat,20,1,3
Shark,15,0,3
Baymax,30,0,3
Baymax,15,0,3
Octopus,25,1,1
Pepper,25,0,2
Ants,10,5,1
Spider,10,2,1
Woodpecker,25,30,1
Mouse,20,1,1
Monkey,20,0,2
WALL-E,30,0,3
Worm,20,0,1
Cat,15,0,2
Shark,25,0,3
Shark,30,0,3
Baymax,30,0,3
Octopus,15,30,2
Pepper,20,5,1
Ants,10,30,1
Spider,10,20,1
Woodpecker,15,30,1
